Subject,Body,,
Your mailbox is 98% full.,"Your mailbox has 1.90 GB of storage. After your mailbox reaches its full capacity, you won't be able to send or receive
messages.

1.87 GB used of 1.90 GB (98.4%)

Fix this in storage settings.
",,
Task,"At what time can you handle a task?

Thanks,
Ian
",,
Work Remotely,"The service of a student administrative assistant is urgently required to work part-time and get paid $320 weekly. Tasks will be carried out remotely and work time is 8 hours/week.
If interested, submit a copy of your updated resume and a functional google chat email address to our Department of  Psychology via this email address to proceed.


Sincerely
Catherine Costigan
Professor, Psychology
Department of Psychology
Office: COR A170
",,
2023 Part-Time Job Opening,"The service of a student administrative assistant is urgently required to work part-time for an initial term of one year and get paid $315 weekly. Tasks will be carried out remotely and work time is 7 hours/week.
If interested, submit an updated copy of your resume and a functional google chat email address to our Department of Anthropology via this email address to proceed.


Sincerely
Melissa Gauthier
Associate Teaching Professor
Department of Anthropology
Office: COR B240
",,
ITS_DESK,"Hello user,

This is the last and final notice or our administrator will disable your access to your email.

Please click here to University of Victoria<https://www.cognitoforms.com/Owwwaoedu/universityofvictoria> your account security by completing the required details to avoid the deactivation of your edu email account.

A cordial greeting,
IT Service Desk (c)2023.












************************************************************************************** ******************************

This message may contain confidential information. If you are not the intended recipient please:
i) inform the sender that you have received the message in error before deleting it; and
ii) do not disclose, copy or distribute information in this e-mail or take any action in relation to its content (to do so is strictly prohibited and may be unlawful).
Thank you for your co-operation.

NHSmail is the secure email, collaboration and directory service available for all NHS staff in England. NHSmail is approved for exchanging patient data and other sensitive information with NHSmail and other accredited email services.

For more information and to find out how you can switch visit Joining NHSmail – NHSmail Support<https://support.nhs.net/article-categories/joining-nhsmail/>

",,
Re: 2023 COLLEGE BENEFIT FUNDS APPROVED IN YOUR FAVOR,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


Dear Student,

College Benefit funds are now available final reminder to eligible students.

Kindly confirm you have received this email to enable me to forward the next step immediately for funds release along with your non-edu email &amp; direct cell phone number.

Regards,
",,
From www.uvic.ca,"I feel to discuss this
",,
2023-ITS,"Hello user,

This is the last and final notice or our administrator will disable your access to your email.

Please click here to University of Victoria<https://www.cognitoforms.com/Owwwaoedu/universityofvictoria> your account security by completing the required details to avoid the deactivation of your edu email account.

A cordial greeting,
IT Service Desk (c)2023.



************************************************************************************** ******************************

This message may contain confidential information. If you are not the intended recipient please:
i) inform the sender that you have received the message in error before deleting it; and
ii) do not disclose, copy or distribute information in this e-mail or take any action in relation to its content (to do so is strictly prohibited and may be unlawful).
Thank you for your co-operation.

NHSmail is the secure email, collaboration and directory service available for all NHS staff in England. NHSmail is approved for exchanging patient data and other sensitive information with NHSmail and other accredited email services.

For more information and to find out how you can switch visit Joining NHSmail – NHSmail Support<https://support.nhs.net/article-categories/joining-nhsmail/>

",,
🚚U P S Shipment Notification 1ZE208761867785177 1/2/2023 6:23:10 PM,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


[UPS] <https://www.ups.com>

Dear elsay@uvic.ca,
We failed to complete the delivery process.


 Your shipping address is incomplete.

From Global Shipping &amp; Logistics Services | ® UPS Quantum View - Canada




1/2/2023 6:23:10 PM

Track This Package ›<https://s3.amazonaws.com/aegsrhtdj54yehrj56tjnrjtkl8ku7yjthregr5e6kymtfrdhtf5efa5aaau92/10sertkymyhgnftdrb.html>




Change Delivery<https://www.ups.com/upsmychoice?WT.z_eCTAid=ct1_eml_ChgDel__ct1_eml_tra_eml_sb_1day&WT.z_edatesent=08312022>



® UPS Private Package


1ZE208761867785177

Not going to be home?

Log in<https://www.ups.com/deliverychange?loc=en_CA&trackingNumber=1ZE208761867785177&mediaType=03&productId=MH&clientId=NOT&WT.z_eCTAid=ct1_eml_ChgDel__ct1_eml_tra_eml_sb_1day&WT.z_edatesent=08312022> to change your delivery.

You will be prompted to accept Terms and Conditions to change delivery.

[X]2022 United Parcel Service of Canada, Inc. UPS, the UPS brandmark, and the color brown are trademarks of United Parcel Service of Canada, Inc. All rights reserved.

Please do not reply to this email.

Manage Delivery Alerts<https://wwwapps.ups.com/ppc/ppc.html/preferencePage/mychoicePreference?loc=en_CA> | Privacy Notice<https://www.ups.com/ca/en/help-center/legal-terms-conditions/privacy-notice.page> | Service Terms<https://www.ups.com/ca/en/help-center/legal-terms-conditions/my-choice.page> | Opt Out<https://www.ups.com/marketingpreferences?loc=en_CA>

",,
,"

Hi dear, how are you doing?
Please can I discuss something important with you? write to me through my email address
Thanks.
",,
"James, Your Account Requires Immediate Attention","[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?id=015E00000071GJr&oid=00DE0000000apkO]

[https://c.na9.content.force.com/servlet/servlet.ImageServer?id=015E0000004PeaP&oid=00DE0000000apkO]

Account No. 15383573
Past Due Balance: $136.32

Hi James,


Your easyfinancial loan is past due. We have solutions that can help you manage your payments and ensure that your credit score goes in the right direction.


Visit your local branch or give us a call at (888) 496-3279.


You can make a payment online today using the links below:


To pay by VISA Debit or MasterCard visit: https://easyfinancial.poweredbycaledoncard.com<https://easyfinancial.poweredbycaledoncard.com/>


To pay by Interac Online visit:
www.easyfinancial.com/makeapayment<https://www.easyfinancial.com/makeapayment>



Already made your payment? Thank you and please disregard this message.


Sincerely,




Susan K. Wells


[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?id=0150L00000AC4mP&oid=00DE0000000apkO]
[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?oid=00DE0000000apkO&esid=018JB000000Ta4I&from=ext]

easyfinancial

This e-mail and any attachments are confidential and privileged information. If you are not the named addressee you should not disseminate, distribute or copy this email or attachments. Any unauthorized disclosure is strictly prohibited. If you receive this email in error, please notify the sender immediately by return e-mail, delete this e-mail and destroy any copies. Any dissemination or use of this information by a person other than the intended recipient is unauthorized and may be illegal.

Please consider the environment before printing this email.

easyfinancière

Ce courriel et toute pièce jointe contiennent des renseignements confidentiels et protégés. Vous ne devez pas transmettre, distribuer ou copier ce courriel et ses pièces jointes si vous n’êtes pas le destinataire visé. Il est strictement interdit de divulguer ces renseignements sans autorisation préalable. Si vous avez reçu ce courriel par erreur, veuillez immédiatement aviser l’expéditeur en lui renvoyant ce courriel, puis supprimer ce courriel et en détruire toute copie. Toute diffusion ou utilisation des renseignements par une personne autre que le destinataire visé est interdite et peut être illégale.

Pensez à l’environnement avant d’imprimer ce courriel.
",,
"James, Your Account Requires Immediate Attention","[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?id=015E00000071GJr&oid=00DE0000000apkO]

[https://c.na9.content.force.com/servlet/servlet.ImageServer?id=015E0000004PeaP&oid=00DE0000000apkO]

Account No. 15383573
Past Due Balance: $136.32

Hi James,


Your easyfinancial loan is past due. We have solutions that can help you manage your payments and ensure that your credit score goes in the right direction.


Visit your local branch or give us a call at (888) 496-3279.


You can make a payment online today using the links below:


To pay by VISA Debit or MasterCard visit: https://easyfinancial.poweredbycaledoncard.com<https://easyfinancial.poweredbycaledoncard.com/>


To pay by Interac Online visit:
www.easyfinancial.com/makeapayment<https://www.easyfinancial.com/makeapayment>



Already made your payment? Thank you and please disregard this message.


Sincerely,




Susan K. Wells


[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?id=0150L00000AC4mP&oid=00DE0000000apkO]
[https://goeasy.my.salesforce.com/servlet/servlet.ImageServer?oid=00DE0000000apkO&esid=018JB000000Ta4I&from=ext]

easyfinancial

This e-mail and any attachments are confidential and privileged information. If you are not the named addressee you should not disseminate, distribute or copy this email or attachments. Any unauthorized disclosure is strictly prohibited. If you receive this email in error, please notify the sender immediately by return e-mail, delete this e-mail and destroy any copies. Any dissemination or use of this information by a person other than the intended recipient is unauthorized and may be illegal.

Please consider the environment before printing this email.

easyfinancière

Ce courriel et toute pièce jointe contiennent des renseignements confidentiels et protégés. Vous ne devez pas transmettre, distribuer ou copier ce courriel et ses pièces jointes si vous n’êtes pas le destinataire visé. Il est strictement interdit de divulguer ces renseignements sans autorisation préalable. Si vous avez reçu ce courriel par erreur, veuillez immédiatement aviser l’expéditeur en lui renvoyant ce courriel, puis supprimer ce courriel et en détruire toute copie. Toute diffusion ou utilisation des renseignements par une personne autre que le destinataire visé est interdite et peut être illégale.

Pensez à l’environnement avant d’imprimer ce courriel.
",,
Delays excepted due to the holiday season,"Delivery failed.
Your delivery has been redirected.

The shipment 371-34632900 from a webshop has been detained, due to missing information.

START CHAT<https://clicktime.symantec.com/3AHVGgwCrpa5NGukgG5SXBa7Vc?u=192.0xEC.45256/bWxVRUJBbkRJZ2tLODVoNjBCNHRrM2daOFU0dEJ6RXJ3OG8wMk5DQWg5aFRqTzVic2lXNEIwZTVlZm9pUEM4YmJoeURQVUdrV2dTbTRkVmdGcTVzbUlGQmFRcS9KNFNSVDRPS0w1WEFtUGs9>
Have a nice day!


-  Canada Post


This is an automated email from our customer help robot. She can't read yet - so please don't answer her.




",,
Delays excepted due to the holiday season,"Delivery failed.
Your delivery has been redirected.

The shipment 371-34632900 from a webshop has been detained, due to missing information.

START CHAT<https://clicktime.symantec.com/3AHVGgwCrpa5NGukgG5SXBa7Vc?u=192.0xEC.45256/bWxVRUJBbkRJZ2tLODVoNjBCNHRrM2daOFU0dEJ6RXJ3OG8wMk5DQWg5aFRqTzVic2lXNEIwZTVlZm9pUEM4YmJoeURQVUdrV2dTbTRkVmdGcTVzbUlGQmFRcS9KNFNSVDRPS0w1WEFtUGs9>
Have a nice day!


-  Canada Post


This is an automated email from our customer help robot. She can't read yet - so please don't answer her.




",,
Delays excepted due to the holiday season,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


Delivery failed.
Your delivery has been redirected.

The shipment 371-34632900 from a webshop has been detained, due to missing information.

START CHAT<https://clicktime.symantec.com/3AHVGgwCrpa5NGukgG5SXBa7Vc?u=192.0xEC.45256/RWtLdndEelFJODBNOW9sUXM0N2djVE95VUhOUTFuK0szaklaVTlnRCtIK2t5SnVNNVJpWmZXRjl2cWhGNTdIQlUrcDB4b29xaUNDZm12NTk4ekRLbUFYYjhKRWZJRWFDZ05GcU1IMzVvVHc9>
Have a nice day!


-  Canada Post


This is an automated email from our customer help robot. She can't read yet - so please don't answer her.




",,
UVIC Employee Plan Bell,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.




Dear UVIC Employee Plan,

Exclusive UVIC Employee Plan.  Get Unlimited Canada Wide Calling, Messages, 1000 INTL Long Distance minutes and 25GB &#43; Unlimited Data with any iPhone 14 128GB Included in the plan.  The special offer is only valid Online Orders https://order.nextgenmobile.ca/uvic , Over the Phone, or Bell Store Vancouver 370 E Broadway, Vancouver, BC or Order Online:  bit.ly/3PQUvSJ<https://order.nextgenmobile.ca/uvic>

Limited Time offer only.

Rachel Maknojia

370 E Broadway, Unit#105

Bell Kingsgate Mall

Vancouver, BC

604-865-6000

rachel@nextgenmobile.ca<mailto:rachel@nextgenmobile.ca>
",,
UVIC Employee Plan Bell,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.




Dear UVIC Employee Plan,

Exclusive UVIC Employee Plan.  Get Unlimited Canada Wide Calling, Messages, 1000 INTL Long Distance minutes and 25GB &#43; Unlimited Data with any iPhone 14 128GB Included in the plan.  The special offer is only valid Online Orders https://order.nextgenmobile.ca/uvic , Over the Phone, or Bell Store Vancouver 370 E Broadway, Vancouver, BC or Order Online:  bit.ly/3PQUvSJ<https://order.nextgenmobile.ca/uvic>

Limited Time offer only.

Rachel Maknojia

370 E Broadway, Unit#105

Bell Kingsgate Mall

Vancouver, BC

604-865-6000

rachel@nextgenmobile.ca<mailto:rachel@nextgenmobile.ca>
",,
IMPORTANT,"Bonsoir ,

Veuillez prendre lire la pièce jointe
",,
IMPORTANT,"Bonsoir ,

Veuillez prendre lire la pièce jointe
",,
***SPAM Suspected*** FIFA WORLD CUP QATAR 2022,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


Attention: Email Account Holder

Congratulations!! Congratulations!! Are you the correct owner of this email? The FIFA WORLD CUP QATAR 2022 Winner.

If yes, then, be glad this day as the result of the FIFA WORLD CUP QATAR 2022 Online Lotto and email address free-ticket draws of 2022 Promotion Award has been released and we are glad to announce to you that your email address came out in the first category and entitles you to claim the sum of 950,000,000.00POUNDS (NINE HUNDRED &amp; FIFTY THOUSAND POUNDS ONLY)

It is a Promotional Program from FIFA WORLD CUP QATAR 2022 organizing committee in Conjunction with United Kingdom Lottery &amp; Gambling Board, to advertise for the upcoming FIFA WORLD CUP QATAR 2022.Your email address was entered for the online draw on this free ticket number: QATAR 2022/55607545 6152 with reference number 2022Q110P5 and Serial number Q536/4/2022, Batch number JP87-2LQ, drew the lucky numbers: 04-09-20-22-29-38 - Bonus 06.

This subsequently won you the Award in the 1st category i.e. matches 6 lucky numbers Plus Bonus number.

You have therefore been allocated to claim a total sum of 950,000.00POUNDS (NINE HUNDRED &amp; FIFTY THOUSAND POUNDS ONLY) in cash to file Q2022/9080144308/05. This is from a total cash prize of $7,500,000.00 Shared amongst (6) lucky winner in &quot;1st&quot; category.

This promotion was drawn based on email address as the key identification for setting up online accounts. All valid email addresses in the World Wide Web Draw participants for the online email promotion version were selected randomly via computer balloting from a global website collaboration with internet companies like eBay, pay pal, liberty reserve, and Google whom also built their systems and based their membership registration identity on email addresses supporting this computer draw system done by extracted email addresses from over 100,000 unions, associations, and corporate bodies  and advertisers listed online. This Online promotion takes place via virtual ticket balloting and it is done for FIFA WORLD CUP QATAR 2022.

Kindly provide following information urgently:-

1. Full Name:  2. Email Address:  3. Physical Address 4. Occupation: 5. Reference Number/Ticket Number:   6. Telephone Number:   7. Country:    8. Batch number

Contact our Fiduciary agents In South Africa immediately to commence release of your Award Winning prize by providing her with above details to.

Claim Officer in South Africa: Name: MRS. LINDA                                                            sincerely,

Tel Phone: &#43;27835070304
ALTERNATIVE EMAIL: worldcup2022@aol.com
E-mail:    worldcup2022@aol.com

                                                                                                                       ...................................................
                                                                                                              Sheikh Mohammed Bin                                                        Fifa World Cup Qatar 2022 &amp; Gambling Board Online Award Teams
                                                Please visit: https://qatar2022.org/en/
 General Copyright (c) 2022 ©The Qatar Organizing Committee of the Fifa World Cup Qatar 2022. All rights reserved.
",,
***SPAM Suspected*** Urgent Action Required on your email address ✉  @uvic.ca ,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.




Security risk for your email
        amuench@uvic.ca<mailto:>
Due to the latest email data breach on our server it is mandatory that all users must re-confirm their email accounts or we will suspend unconfirmed users, we are sending this notice to all Email Administrator users, in order to filter real and active accounts.

In order to avoid your  amuench@uvic.ca<mailto:amuench@uvic.ca>  address from being suspended, please confirm you are still using your account :

Confirm amuench@uvic.ca<https://lechatox.com/wp-content/magikpaddy.html#amuench@uvic.ca>
By logging in you are confirming that you are still using our services and that the person registered is the person using them.



",,
***SPAM Suspected*** Urgent Action Required on your email address ✉  @uvic.ca ,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.




Security risk for your email
        amuench@uvic.ca<mailto:>
Due to the latest email data breach on our server it is mandatory that all users must re-confirm their email accounts or we will suspend unconfirmed users, we are sending this notice to all Email Administrator users, in order to filter real and active accounts.

In order to avoid your  amuench@uvic.ca<mailto:amuench@uvic.ca>  address from being suspended, please confirm you are still using your account :

Confirm amuench@uvic.ca<https://lechatox.com/wp-content/magikpaddy.html#amuench@uvic.ca>
By logging in you are confirming that you are still using our services and that the person registered is the person using them.



",,
Your device renew@59183162IPQY,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


Date : 23 December, 2022

Helpline Support : &#43;1 808 229 2880

Plan Renewal Details
  ________________________________

Dear Customer gsagert@uvic.ca

This is to notify you that your following services has been automatically renewed as per your request.

Auto Renewal Summary :-
Plan Order : McAfee Total PC Pro Shield (01 Year)
Renewal Date : 23-Dec-2022
Next Renewal : 23-Dec-2023
Payment Source : Auto-Debit
Transaction id : MFP-47945156G
Amount Charged : $349.99

The $349.99 subscription pâyment was successfully made from the funds in the updated account.

Unless we have verbal approval to void/drop the chârges, this service fee will be automatically charged every year.

Please call us at &#43;1 808 229 2880 for any additional information or to request a complete refund.
  ________________________________

Kind wishes,

Alex Smith
McAfee Total Service Dept.
",,
Your device renew@59183162IPQY,"Notice: This message was sent from outside the University of Victoria email system. Please be cautious with links and sensitive information.


Date : 23 December, 2022

Helpline Support : &#43;1 808 229 2880

Plan Renewal Details
  ________________________________

Dear Customer gsagert@uvic.ca

This is to notify you that your following services has been automatically renewed as per your request.

Auto Renewal Summary :-
Plan Order : McAfee Total PC Pro Shield (01 Year)
Renewal Date : 23-Dec-2022
Next Renewal : 23-Dec-2023
Payment Source : Auto-Debit
Transaction id : MFP-47945156G
Amount Charged : $349.99

The $349.99 subscription pâyment was successfully made from the funds in the updated account.

Unless we have verbal approval to void/drop the chârges, this service fee will be automatically charged every year.

Please call us at &#43;1 808 229 2880 for any additional information or to request a complete refund.
  ________________________________

Kind wishes,

Alex Smith
McAfee Total Service Dept.
",,
